0;I love Vintage;Beautiful shop, small nut super stocked with vintage clothing at a great price. ;40.8480413;14.2554239;Via Mezzocannone, 135, 80134 Napoli NA, Italy;
1;Retrophilia Vintage Clothing;Many vintage shops line Via Mezzocannone, the narrow street that runs between the two universities (Federico II and L’Orientale) but Retrophilia is a welcome respite from the more generic shops. Light and airy, the boutique sells a carefully curated collection of women's clothes displayed on a rack that runs the length of this elegant shop with its majolica floor;40.8464231;14.2560694;Via Mezzocannone, 71, 80134 Napoli NA, Italy;
2;Sartoria Nomade;Inspired by the colors found in Naples and the Amalfi Coast, Sartoria Nomade embraces that Mediterranean flair and freedom with floral prints, silky textures, and pieces that embrace Italian effortlessness and elegance that make you feel good anytime and anywhere.;40.8340219;14.2412521;Piazza dei Martiri, 30, 80121 Napoli NA, Italy;
3;Casa Cometa;Here u can find perfect Neapolitan keepsakes, from decorative ceramic plates and neon San Gennaro shaped candles to vibrant ex-votos. This studio is located in the colorful Quartieri Spagnoli (Spanish Quarter) and features neon lights and electrifying interiors — juxtaposing the well-worn streets of the neighborhood.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
4;Omega;Did you know Neapolitan guantai (glove-makers) are considered some of the best in the world? Come explore this magical shop and find your perfect glove before it is sold off to some of the world’s most prestigious Haute Couture fashion houses.;40.8552674;14.2525167;Via Stella, 12, 80137 Napoli NA, Italy;
5;In Casa By Payboy;A small social enterprise called In Casa by Paboy that handsews pillows and homewares during the pandemic. His cushions are stand out with their victorian ruffled trim and vibrant color blocks, taking inspiration from the colors in his home country, and all items are sewn in the studio by Paboy himself and his team employed of talented migrant employees.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
6;Tramontano;The brand has over 600 models in its archive and everything is made in-house, from woven handbags and silk clutches to belts, accessories and luggage. Blending innovation with tradition, and aesthetics and functionality, is at the heart of the brand. Tramontano’s artisans can also work with you to create your dream bag by selecting your favorite color, metal detailing and type of leather.;40.8355875;14.2426729;Via Chiaia, 143, 80121 Napoli NA, Italy;
7;Bruno Acampora;Bruno Acampora is a family-run, haute couture perfumery made famous for capturing the scent of Capri in a bottle. Each perfume is produced using undiluted pure oil through a traditional cold extraction technique, and the seductive Music fragrance is a top seller.;40.8355913;14.2421063;Via Gaetano Filangieri, 72, 80121 Napoli NA, Italy;
8;Pasquale ‘o nummararo;For over 65 years, Pasquale has hand-painted thousands of wooden signs used to advertise fruit and vegetable prices at the market stalls. Instantly recognizable for their bold red font and yellow and blue colors, these iconic signs are visible in shops and markets throughout the city, from Forcella to Mercato Pignasecca. I;40.8428259;14.2446922;Scala di S. Pasquale, 80134 Napoli NA, Italy;
9;E. Marinella;Step inside E. Marinella and you’ll be enveloped by century-old excellence in tailoring in this “little corner of England” located along the chic Riva di Chiaia. Famous for producing some of the most covetable silk ties in the world, E. Marinella’s designs have been worn by countless celebrities, politicians and dapper gentlemen over the years. ;40.8455462;14.2730518;Calata della Marinella, Napoli NA, Italy;
