0;Murales Maradona 1990;A famous mural depicting Diego Maradona, which portrays the Argentinian footballer wearing the sky-blue SSC Napoli football kit and dribbling with ball at his feet, painted in 1990 in the city's Spanish Quarter. Photographs, paintings and posters of the star appear below the mural. Since his death on 25 November 2020, an altar to Diego Maradona set up and the Largo degli Artisti square next to the Via Emanuele de Deo street, has become an impromptu site of national mourning.;40.8415142;14.2451665;Via Emanuele de Deo, 62, 80132 Napoli NA, Italy;
1;Pudicizia;The famous Argentine artist Francisco Bosoletti has realized in the Spanish Quarter of Naples an enormous murals dedicated to the Pudicizia sculputre by Corradini, kept in the Chapel of Sansevero. The mural is faced with the one always made by Bosoletti and dedicated to Maradona.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
2;Dios Umano;The giant, head-and-shoulders mural of a middle-aged Diego Maradona with grey-flecked hair and beard, realised in 2017 by Jorit Agoch, the Italian-Dutch street artist grew up in Naples, on the facade of one of the two buildings, a tough neighbourhood known locally as “The Bronx”, in the district of San Giovanni a Teduccio. It is the largest mural in the world to portray Maradona also known as El pibe de oro. In this immense public street art work a message is hidden in one of the details that compose it. Inside the right eye of Maradona there is a sentence composed of two words, placed right inside the iris and separated from the pupil. This writing is not always clearly visible, it can only be seen during sunrise and sunset, when the light does not reflect directly on the mural.;40.8431266;14.2866297;Via Reggia di Portici, 69, 80146 Napoli NA, Italy;
3;Essere umani;An artwork at Via Taverna del Ferro at “The Bronx” of San Giovanni a Teduccio, done in less than a month by the Italian-Dutch artist from Naples, Jorit Agoch, on the left of the Dips Umano mural. In this artwork we can see the portrait of Niccolò, an autistic Neapolitan child, drawn with his eyes closed. A detail below the portrait, however, reproposes the boy's eyes, this time open.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
4;Patria o muerte;The world's largest Che Guevara mural on the facades of two social housing blocks in the San Giovanni a Teduccio neighbourhood, painted by the Dutch-Neapolitan artist Jorit Agoch, with Agoch’s signature red stripes dashed across both cheeks. The mural took only 40 days to complete in 2018.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
5;Fidel Castro;On the day of the funeral of the Líder Máximo ( December 4, 2016), Mono Gonzales and Tono Cruz, two famous street artists, painted a large mural portrait of young Fidel Castro on a wall of Federico II University, in Mezzocannone street.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
6;San Gennaro;Made in a week and over 15 metres high, Agoch’s hyper-realistic portrait of San Gennaro, the city’s patron saint, that can be found on Via Forcella, near the cathedral, in the middle of Naples. Agoch asked a 35-year-old friend called Gennaro, a factory worker who sprays cars for a living, to pose for the painting. ;40.8594359;14.2677968;Via Camillo Porzio, 49, 80141 Napoli NA, Italy;
7;Madonna with a Pistol ;An artwork, now officially protected by the city, entitled “Madonna with a pistol”, by one of the most famous British street artist in the world, Banksy. Just like other works by Banksy, this one is full of irony: it represents a Madonna in ecstasy with a gun hovering above her head, representing the troubled connection between organised crime and religion in the area. The Madonna can be found down a narrow alley just off Piazza Gerolomini.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
8;Ael. Tutt’egual song’e criature (All children are equal);"It’s an artwork by Jorit Agoch (real name Jorit Ciro Cerullo - his father is Neapolitan, his mother Dutch) on the wall in the Parco Merola, now fully known as the Parco dei Murales, i.e. Graffiti Park, in the Ponticelli district in the eastern area of Naples, close to the airport. It represents a rom child who is starting school: a message of integration. The title is a quote from a song by Enzo Avitabile. The Parco dei Murales is free to access. The visitors to the Parco dei Murales can admire a painting cycle involving eight murals at the moment.";40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
9;"Resis-Ti-Amo (a mix of ""resistance"" and ""I love you"")";This artwork, painted on a lateral wall of the Basilica of Santa Maria della Sanità in the Sanità neighborhood by the Argentinian artist Francisco Bosoletti. The work is inspired by a true story and describes a Neapolitan couple who has overcome a terrible illness with care and love. These two lovers are a symbol of resistance to violence, disease, and offences.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
